v_kms,L00_1e-15,L10_1e-16,L11_1e-16,L22_1e-18
-60,6.5,2.21,3.48,1.38
-59,6.39,2.29,3.61,1.3
-58,6.29,2.39,3.77,1.25
-57,6.19,2.5,3.93,1.24
-56,6.06,2.58,4.06,1.27
-55,5.88,2.65,4.17,1.33
-54,5.65,2.67,4.2,1.4
-53,5.36,2.62,4.13,1.47
-52,5.0,2.5,3.94,1.54
-51,4.59,2.35,3.7,1.61
-50,4.15,2.22,3.5,1.66
-49,3.73,2.18,3.43,1.65
-48,3.39,2.21,3.48,1.58
-47,3.1,2.29,3.6,1.45
-46,2.85,2.36,3.72,1.31
-45,2.67,2.42,3.81,1.17
-44,2.64,2.44,3.84,1.06
-43,2.81,2.42,3.82,0.98
-42,3.09,2.38,3.75,0.96
-41,3.37,2.33,3.67,0.98
-40,3.53,2.28,3.58,1.02
-39,3.56,2.21,3.48,1.06
-38,3.48,2.12,3.33,1.1
-37,3.37,1.96,3.09,1.14
-36,3.34,1.77,2.79,1.17
-35,3.42,1.57,2.48,1.22
-34,3.51,1.44,2.26,1.27
-33,3.5,1.39,2.19,1.33
-32,3.38,1.42,2.24,1.38
-31,3.22,1.48,2.33,1.39
-30,3.11,1.55,2.44,1.37
-29,3.01,1.63,2.56,1.31
-28,2.9,1.71,2.69,1.24
-27,2.77,1.77,2.79,1.17
-26,2.59,1.77,2.78,1.11
-25,2.39,1.68,2.64,1.09
-24,2.17,1.51,2.37,1.1
-23,1.98,1.31,2.06,1.14
-22,1.85,1.11,1.74,1.17
-21,1.74,0.94,1.48,1.16
-20,1.64,0.83,1.3,1.11
-19,1.52,0.77,1.21,1.08
-18,1.44,0.79,1.24,1.11
-17,1.46,0.88,1.39,1.23
-16,1.65,1.02,1.61,1.39
-15,2.01,1.17,1.84,1.52
-14,2.43,1.32,2.08,1.6
-13,2.77,1.48,2.33,1.66
-12,2.93,1.67,2.62,1.71
-11,2.84,1.88,2.96,1.8
-10,2.47,2.09,3.29,1.93
-9,2.0,2.25,3.55,2.07
-8,1.7,2.35,3.7,2.13
-7,1.64,2.38,3.75,2.09
-6,1.7,2.36,3.72,1.99
-5,1.74,2.28,3.59,1.86
-4,1.73,2.16,3.39,1.73
-3,1.7,2.02,3.17,1.61
-2,1.64,1.89,2.97,1.52
-1,1.54,1.79,2.83,1.46
0,1.49,1.76,2.77,1.44
1,1.56,1.79,2.81,1.42
2,1.76,1.87,2.95,1.42
3,2.05,1.98,3.11,1.4
4,2.33,2.05,3.23,1.34
5,2.56,2.09,3.29,1.27
6,2.68,2.11,3.33,1.18
7,2.71,2.14,3.38,1.09
8,2.72,2.18,3.43,1.05
9,2.84,2.23,3.51,1.06
10,3.18,2.31,3.63,1.1
11,3.74,2.39,3.76,1.17
12,4.47,2.45,3.86,1.24
13,5.19,2.46,3.87,1.28
14,5.74,2.41,3.79,1.3
15,5.93,2.33,3.67,1.29
16,5.7,2.25,3.55,1.28
17,5.24,2.2,3.46,1.27
18,4.91,2.17,3.42,1.29
19,4.92,2.18,3.43,1.32
20,5.26,2.18,3.44,1.36
21,5.78,2.14,3.37,1.38
22,6.34,2.01,3.16,1.42
23,6.85,1.81,2.85,1.48
24,7.16,1.6,2.51,1.57
25,7.25,1.44,2.26,1.65
26,7.18,1.38,2.17,1.71
27,7.04,1.45,2.28,1.74
28,6.84,1.61,2.54,1.76
29,6.48,1.82,2.86,1.76
30,5.89,2.02,3.18,1.77
31,5.22,2.16,3.41,1.76
32,4.67,2.24,3.53,1.74
33,4.24,2.27,3.57,1.72
34,3.8,2.26,3.55,1.71
35,3.33,2.19,3.45,1.72
36,2.91,2.06,3.24,1.75
37,2.59,1.85,2.92,1.78
38,2.3,1.6,2.51,1.79
39,2.03,1.32,2.08,1.78
40,1.82,1.08,1.69,1.75
41,1.79,0.93,1.46,1.7
42,2.1,0.89,1.41,1.64
43,2.84,0.97,1.52,1.59
44,3.93,1.09,1.71,1.56
45,5.14,1.2,1.89,1.55
46,6.16,1.27,2.0,1.55
47,6.84,1.28,2.02,1.57
48,7.21,1.26,1.99,1.61
49,7.43,1.24,1.95,1.65
50,7.64,1.25,1.96,1.68
51,7.9,1.33,2.1,1.71
52,8.13,1.47,2.31,1.71
53,8.26,1.62,2.55,1.68
54,8.22,1.75,2.76,1.63
55,7.99,1.83,2.87,1.56
56,7.62,1.83,2.87,1.5
57,7.1,1.75,2.76,1.44
58,6.47,1.63,2.56,1.4
59,5.87,1.51,2.37,1.36
60,5.45,1.45,2.29,1.33
