,OBS_ID,DATE_OBS,DATE_END,FILTER,PA_PNT,RA_OBJ,DEC_OBJ,EXPOSURE,MID_TIME,EXTENSION,FITS_FILENAME,HELIO,HELIO_V,OBS_DIS,PHASE,RA,DEC,PX,PY
0,00020405001,2014-08-14T22:01:36.000,2014-08-14T22:02:58.000,UVW1,92.0160847028691,356.296672,-17.63673,80.1930460740913,2014-08-14T22:02:17.000,1,sw00020405001uw1_sk.img.gz,5.826461283461,-16.1848939,4.93552628410617,5.1547,356.378,-17.59185,385.5868433251824,770.6018065313654
1,00020405002,2014-08-14T22:03:21.000,2014-08-14T22:06:41.000,V,92.0084279211155,356.296672,-17.63673,196.611390501214,2014-08-14T22:05:01.000,1,sw00020405002uvv_sk.img.gz,5.826443538296,-16.1849144,4.93548732787167,5.1545,356.37761,-17.59209,457.8641334685339,858.0354086538835
2,00020405002,2014-08-14T22:06:44.000,2014-08-14T22:09:57.000,V,92.0084279211155,356.296672,-17.63673,189.954859793157,2014-08-14T22:08:20.500,2,sw00020405002uvv_sk.img.gz,5.826421951988,-16.1849394,4.93544118282052,5.1543,356.37712,-17.59237,462.028121326272,857.5345393818121
3,00020405003,2014-08-14T22:10:20.000,2014-08-14T22:13:40.000,UVW1,91.9953823496431,356.296672,-17.63673,196.622217045679,2014-08-14T22:12:00.000,1,sw00020405003uw1_sk.img.gz,5.826398201706,-16.1849669,4.93539235184098,5.154,356.37656,-17.59268,444.6389248782427,835.3353534099625
4,00020405003,2014-08-14T22:13:43.000,2014-08-14T22:17:03.000,UVW1,91.9953823496431,356.296672,-17.63673,196.622236756971,2014-08-14T22:15:23.000,2,sw00020405003uw1_sk.img.gz,5.826376236829,-16.1849923,4.93534927258913,5.1536,356.37603,-17.59295,448.0652926849683,835.9990415492002
5,00020405003,2014-08-14T22:17:06.000,2014-08-14T22:20:26.000,UVW1,91.9953823496431,356.296672,-17.63673,196.622256409599,2014-08-14T22:18:46.000,3,sw00020405003uw1_sk.img.gz,5.826354272034,-16.1850178,4.93530835280357,5.1532,356.37551,-17.59321,449.9238449386941,835.3530187520483
6,00020405003,2014-08-14T22:20:29.000,2014-08-14T22:23:49.000,UVW1,91.9953823496431,356.296672,-17.63673,196.633082954064,2014-08-14T22:22:09.000,4,sw00020405003uw1_sk.img.gz,5.826332307323,-16.1850432,4.93526963963388,5.1527,356.37498,-17.59347,452.5101248082586,835.0169512987865
7,00020405003,2014-08-14T22:23:52.000,2014-08-14T22:27:11.000,UVW1,91.9953823496431,356.296672,-17.63673,196.6330828954,2014-08-14T22:25:31.500,5,sw00020405003uw1_sk.img.gz,5.826310396794,-16.1850685,4.93523315961215,5.1521,356.37446,-17.59372,454.58056063304986,833.9702802057144
8,00020405003,2014-08-14T22:27:14.000,2014-08-14T22:27:58.000,UVW1,91.9953823496431,356.296672,-17.63673,42.4366234839822,2014-08-14T22:27:36.000,6,sw00020405003uw1_sk.img.gz,5.826296925913,-16.1850841,4.93521172401032,5.1517,356.37415,-17.59387,455.3285970073411,833.048464856817
9,00034318005,2016-02-11T04:24:26.000,2016-02-11T04:24:56.000,UVW2,272.999390190559,70.46245,71.67257,30.3767579675771,2016-02-11T04:24:41.000,1,sw00034318005uw2_sk.img.gz,1.721482860136,23.198919,1.12925505426354,32.8941,70.44431,71.66214,1324.0286036139669,1260.6693909882108
10,00034318005,2016-02-11T04:18:19.000,2016-02-11T04:24:21.000,UGRISM,272.999390190559,70.46245,71.67257,228.4239534,2016-02-11T04:21:20.000,1,sw00034318005ugu_sk.img.gz,1.721451695238,23.1989366,1.12918749035429,32.8938,70.44878,71.66479,1936.6939565241466,1264.957503971449
